Original Attribute Name,Original Attribute Type,Original Attribute Definition,Parent Elements,NIEM Eqivalent/Refined Attribute Name,NIEM Eqivalent/Refined Attribute Type,NIEM Eqivalent/Refined Attribute Definition,Status,Comments
reportSubmitter,string,A single or delimited list of submitter identifiers (guid) to restrict the returned results,"collection, collectionResponse",nc:DocumentSubmitter,nc : EntityType,An entity responsible for making the resource available.,Mapped to existing NIEMOpen attribute.,
submittedOn,string,A date and time the document was submitted.,"collection, collectionResponse",hs:SubmittedDateTime,nc : DateType,A date and time the document was submitted.,Mapped to existing NIEMOpen attribute.,
collectionResponse,object,A report provided in response to a request.,collection,cbrn:ResponseReport,cbrn : ResponseReportType,A report provided in response to a request.,Mapped to existing NIEMOpen attribute.,
collectionID,string,Number that identifies a collection,collection,CollectionID,nc:IdentificationId,Number that identifies a collection.,Initial refinement completed. Pending Tiger Team review.,
deviceReportSummary,object,High-level information describing a device examination report,,DeviceReportSummary,DeviceReportSummaryType,High-level information describing a device examination report.,Initial refinement completed. Pending Tiger Team review.,
caseNumber,string,A case number or case number pattern to match against,deviceReportSummary,j:CaseNumberText,nc : TextType,"An identifying number for a case that this activity is a part of, where the case number belongs to the agency that owns the activity information.",Mapped to existing NIEMOpen attribute.,
caseName,string,An official name of a case.,deviceReportSummary,nc:CaseTitleText,nc : TextType,An official name of a case.,Mapped to existing NIEMOpen attribute.,
examinerName,string,"Name of an individual who conducts and/or directs the analysis of evidence, interprets the data, and reaches conclusions.","deviceReportSummary, exhibit",EvidenceExaminer,nc : PersonType,"An individual who conducts and/or directs the analysis of evidence, interprets the data, and reaches conclusions.",Initial refinement completed. Pending Tiger Team review.,
dataSourceQuantity,integer,Number of data sources in a case,deviceReportSummary,CaseDataSourceQuantity,xs:integer,The number of data sources in a case.,Initial refinement completed. Pending Tiger Team review.,
AnalysisSoftwareUsed,string,Name of the software used for analysis,deviceReportSummary,,,,,
AnalysisSoftwareVersion,string,Version number of software used for analysis,deviceReportSummary,,,,Needs to be refined by Tiger Team.,
dataSourceUsage,object,An organized collection of stored information made of one or more data sets.,,stat:DataResource,stat : DataResourceType,An organized collection of stored information made of one or more data sets.,Mapped to existing NIEMOpen attribute.,
sourceFile,string,A source of the data.,"dataSourceUsage, metadata, taggedResult, userContentSuspected, encryptionSuspected",usmtf:DataSourceText,usmtf : DataSourceType,A source of the data.,Mapped to existing NIEMOpen attribute.,
tags,array,Flagging of specific data or events for future reference in order to sort evidence or report it,"document, dataSourceUsage, metadata, taggedFiles, taggedResult, userContentSuspected, encryptionSuspected, extensionMismatchDetected, applications, exifMetadata, email, ipAddress, phoneNumber, archives, audio, configurations, databases, images, text, videos",,,,Needs to be refined by Tiger Team.,
owner,string,Name of the owner of a metadata file,metadata,,,,Needs to be refined by Tiger Team.,
exifMetadata,object,Exchangable image file metadata,,ExifMetadata,nc : MetadataType,Metadata for an exchangable image file.,Initial refinement completed. Pending Tiger Team review.,
dateTaken,string,A date that an image was captured,exifMetadata,biom:CaptureDate,nc : DateType,A date that an image was captured,Mapped to existing NIEMOpen attribute.,
deviceManufacturer,string,A maker of an item.,exifMetadata,usmtf:ManufacturerText,usmtf : ManufacturerType ,A maker of an item.,Mapped to existing NIEMOpen attribute.,
deviceModel,string,A model number designation of an object.,"exifMetadata, deviceInfo",usmtf:ModelText,usmtf : ModelType ,A model number designation of an object.,Mapped to existing NIEMOpen attribute.,
lon,string,A value that specifies the degree of a longitude. The value comes from a restricted range between -180 (inclusive) and +180 (inclusive).,"exifMetadata, wirelessNetwork",nc:LongitudeDegreeValue,nc : LongitudeDegreeType,A value that specifies the degree of a longitude. The value comes from a restricted range between -180 (inclusive) and +180 (inclusive).,Mapped to existing NIEMOpen attribute.,
lat ,string,A value that specifies the degree of a latitude. The value comes from a restricted range between -90 (inclusive) and +90 (inclusive).,"exifMetadata, wirelessNetwork",nc:LatitudeDegreeValue,nc : LatitudeDegreeType,A value that specifies the degree of a latitude. The value comes from a restricted range between -90 (inclusive) and +90 (inclusive).,Mapped to existing NIEMOpen attribute.,
altitude,integer,"The vertical distance above the terrain, or above ground level (AGL), also called absolute altitude",exifMetadata,usmtf:AltitudeValue, usmtf : Integer-9999To99999Type,An altitude in the range -9999 through 99999.,Mapped to existing NIEMOpen attribute.,
taggedFiles,object,Files tagged with additional information,,,,,Needs to be refined by Tiger Team.,
fileName,string,A Name of the data file,"taggedFiles, extensionMismatchDetected, applications, archives, audio, configurations, databases, images, locations, text, videos, unrecognizedFiles",cbrn:DataFileName,niem-xs : string,A Name of the data file,Mapped to existing NIEMOpen attribute.,
taggedFileComment,string,Note about a tagged file,"taggedFiles, taggedResult, userContentSuspected",,,,Needs to be refined by Tiger Team.,
username,string,A particular user name of the user account.,"taggedFiles, taggedResult",mo:CyberUserAccountUserName,nc : TextType,A particular user name of the user account.,Mapped to existing NIEMOpen attribute.,
modifyTime,string,A time stamp identifying when a data file was last modified.,"document, taggedFiles, applications, note, archives, audio, configurations, contacts, databases, images, text, videos, unrecognizedFiles",cbrn:DataFileLastModifiedDateTime,niem-xs : dateTime,A time stamp identifying when a data file was last modified.,Mapped to existing NIEMOpen attribute.,
changedTime,string,Date and time a file was changed,"taggedFiles, applications, document, archives, audio, configurations, databases, images, text, videos",FileChangeTime,nc:DateTime,Date and time a file was changed.,Initial refinement completed. Pending Tiger Team review.,
accessedTime,string,Date and time a file was accessed,"taggedFiles, applications, document, archives, audio, configurations, databases, images, text, videos",FileAccessDateTime,niem-xs:dateTime,A date and time when a file was accessed.,Initial refinement completed. Pending Tiger Team review.,
createdTime,string,"A time stamp, of identifying when a data file was created","taggedFiles, applications, documents, wtiProfiles, archives, audio, configurations, contacts, databases, deviceUsers, images, text, userAccounts, videos, networkUsages, deviceReportSummary, unrecognizedFiles",cbrn:DataFileCreatedDateTime,niem-xs : dateTime,"A time stamp, of identifying when a data file was created",Mapped to existing NIEMOpen attribute.,
hash,string,"Numerical value, generated by hashing functions, used to substantiate the integrity of digital evidence and/or for inclusion /exclusion comparisons against known value sets. Also referred to as a ""checksum.""",taggedFiles,j:HashValueText,nc : TextType,A hash value represented as text.,Mapped to existing NIEMOpen attribute.,
taggedResults,object,Results tagged with additional information,,,,,Needs to be refined by Tiger Team.,
resultType,string,A kind of test outcome.,taggedResult,j:TestResultCategoryText,nc : TextType,A kind of test outcome.,Mapped to existing NIEMOpen attribute.,
keywordHits,string,Results from a keyword search,,KeywordHitText,nc : TextType,A result from a keyword search.,Initial refinement completed. Pending Tiger Team review.,
email,string,An electronic mailing address by which a person or organization may be contacted.,"keywordHits, contactEntry",nc:ContactEmailID,niem-xs : string,An electronic mailing address by which a person or organization may be contacted.,Mapped to existing NIEMOpen attribute.,
preview,object,Sample of a larger text,"email, ipAddress, phoneNumber",,,,Needs to be refined by Tiger Team.,
ipAddress,string,"An identifier assigned to a computer or other device connected to a TCP/IP network, based on version 4 of the Internet Protocol.",keywordHits,nc:IPv4AddressID,niem-xs : string,"An identifier assigned to a computer or other device connected to a TCP/IP network, based on version 4 of the Internet Protocol.",Mapped to existing NIEMOpen attribute.,Definition is for IPv4; there is another NIEM definition for IPv6 if needed
phoneNumber,string,A complete telephone number.,keywordHits,nc:TelephoneNumberFullID,niem-xs : string,A complete telephone number.,Mapped to existing NIEMOpen attribute.,
userContentSuspected,object,Files and media suspected to have been added or created by the device user,,,,,Needs to be refined by Tiger Team.,
extensionMismatchDetected,object,List of files in which the file extension does not match the MIME type of the file,,FileExtensionMismatchAssociation,nc : AssociationType,"An association between a file and a MIME type, in which the file extension does not match the MIME type of the file.",Initial refinement completed. Pending Tiger Team review.,
extension,string,"A file extension of an electronic document. The file extension should correspond appropriately with the document format information, if provided.",extensionMismatchDetected,nc:DocumentFileExtensionText,nc : TextType,"A file extension of an electronic document. The file extension should correspond appropriately with the document format information, if provided.",Mapped to existing NIEMOpen attribute.,
mimeType,string,Kind of Multipurpose Internet Mail Extension,extensionMismatchDetected,cbrn:EncodingMIMEKindText,niem-xs : string,An encoding MIME type of a digital data file.,Mapped to existing NIEMOpen attribute.,
filePath,string,The location of a file on a system.,"extensionMismatchDetected, applications, document, downloads, archives, audio, configurations, databases, images, text, videos, webBookmarks, unrecognizedFiles",FilePathText,nc : TextType,The location of a file on a system.,Initial refinement completed. Pending Tiger Team review.,
encryptionSuspected,object,Files in which the cryptographic transformation of data to produce ciphertext is supsected,,SuspectedEncryptionFileAssociation,nc : AssociationType,An association between files with suspected encryption and comments indicating the reason encryption is suspected.,Initial refinement completed. Pending Tiger Team review.,
name,string,A label or name applied to a data element. ,"encryptionSuspected, simData",usmtf:DataElementLabelText,usmtf : DataElementLabelType,A label or name applied to a data element. ,Mapped to existing NIEMOpen attribute.,
project,object,A data type for an individual or collaborative enterprise that is carefully planned and designed to achieve a particular aim.,,j:Project,nc : ActivityType,A data type for an individual or collaborative enterprise that is carefully planned and designed to achieve a particular aim.,Mapped to existing NIEMOpen attribute.,
projectID,string,An identification that references an activity.,project,nc:ActivityIdentification,nc : IdentificationType,An identification that references an activity.,Mapped to existing NIEMOpen attribute.,
projectName,integer,A name for the project or exercise.,project,usmtf:ProjectExerciseName,usmtf : ExerciseNameType,A name for the project or exercise.,Mapped to existing NIEMOpen attribute.,
reportVersion,number,Numeric version given to a report,project,,,,Needs to be refined by Tiger Team.,
licenseID,integer,License identification number for an analysis tool/software,project,SoftwareLicenseID,niem-xs : string,A license identification number for an analysis software tool.,Initial refinement completed. Pending Tiger Team review.,
deviceName,string,Name of a device,"deviceReportSummary, deviceInfo",DeviceNameText,nc : TextType,A name of a device.,Initial refinement completed. Pending Tiger Team review.,
reportCreationTime,string,A DateTime when a report was created.,deviceReportSummary,cbrn:ReportDateTime,niem-xs : dateTime,A DateTime when a report was created.,Mapped to existing NIEMOpen attribute.,
timeZoneSettings,string,A text identification of the time zone that applies to a schedule.,deviceReportSummary,cbrn:ScheduleTimeZoneText,nc : TextType,A text identification of the time zone that applies to a schedule.,Mapped to existing NIEMOpen attribute.,
extractionStartDateTime,string,Date and time that data began exporting from a source,deviceReportSummary,DataExtractionStartDateTime,niem-xs : dateTime,A date and time that data began exporting from a source.,Initial refinement completed. Pending Tiger Team review.,
extractionEndDateTime,string,Date and time that data was finished exporting from a source,deviceReportSummary,DataExtractionEndDateTime,niem-xs : dateTime,A date and time that data finished exporting from a source.,Initial refinement completed. Pending Tiger Team review.,
unitIdentifier,string,Identification number for a unit,deviceReportSummary,,,,Needs to be refined by Tiger Team.,
selectedManufacturer,string,Manufacturer of the device selected for analysis,deviceReportSummary,,,,Needs to be refined by Tiger Team.,
selectedDeviceName,string,Name of the device selected for analysis,deviceReportSummary,,,,Needs to be refined by Tiger Team.,
machineName,string,Name of the machine being used to perform device analysis,deviceReportSummary,,,,Needs to be refined by Tiger Team.,
connectionType,string,Type of connection between the device and the machine being used to perform device analysis,deviceReportSummary,DeviceAnalysisConnection,nc:TextType,A connection between a device and the machine being used to perform device analysis.,Initial refinement completed. Pending Tiger Team review.,
extractionType,string,A kind of extraction process used for obtaining mobile device data and storing it in an approved location for processing.,deviceReportSummary,DataExtractionProcessText,nc : TextType,A kind of extraction process used for obtaining mobile device data and storing it in an approved location for processing.,Initial refinement completed. Pending Tiger Team review.,
extractionID,integer,Unique identifier for a data extraction,"deviceReportSummary, activitySensorData",DataExtractionID,nc : IdentificationType,A unique identifier for a data extraction.,Initial refinement completed. Pending Tiger Team review.,
extractionFileDataIntegrity,string,A status of the integrity of the extracted data during the extraction process.,deviceReportSummary,ExtractionFileDataIntegrityText,nc : TextType,A description of the integrity status of the extracted data during the extraction process.,Initial refinement completed. Pending Tiger Team review.,
reportType,string,Type of report,deviceReportSummary,,,,Needs to be refined by Tiger Team.,
malwareScanner,object,Analysis software that scans a project of interest for malware that may be found within files or applications found in the project device,deviceReportSummary,,,,Needs to be refined by Tiger Team.,
scanPerformed,boolean,Indicator of whether or not a malware scan was performed on a device,malwareScanner,,,,Needs to be refined by Tiger Team.,
deviceFamily,string,A kind of communication device.,deviceInfo,nc:DeviceCategoryText,nc : TextType,A kind of communication device.,Mapped to existing NIEMOpen attribute.,
phase,string,Phase of a SIM card,deviceInfo,,,,Needs to be refined by Tiger Team.,
subModel,string,Sub-model of a SIM card,deviceInfo,,,,Needs to be refined by Tiger Team.,
vendor,string,A vendor name,deviceInfo,biom:VendorName,nc : TextType,A vendor name,Mapped to existing NIEMOpen attribute.,
detectedPhoneModel,string,Model of phone detected by the analysis software,deviceInfo,DetectedPhoneModelText,nc : TextType,Model of phone detected by analysis software.,Initial refinement completed. Pending Tiger Team review.,
androidFingerprint,string,,deviceInfo,DeviceAuthenticatedIdentity,nc:IdentificationType,An identity that has been verified by some authority.,Initial refinement completed. Pending Tiger Team review.,
detectedPhoneVendor,string,Vendor of phone detected by the analysis software,deviceInfo,DetectedPhoneVendorText,nc : TextType,Vendor of phone detected by analysis software.,Initial refinement completed. Pending Tiger Team review.,
osVersion,string,Version of the device's operating system,deviceInfo,,,,Needs to be refined by Tiger Team.,
bluetoothDeviceName,string,Name used by the device for a bluetooth connection,deviceInfo,BluetoothDeviceName,nc:NameType,The device name associated with a bluetooth device.,Initial refinement completed. Pending Tiger Team review.,
appleID,string,"Authentication method used by Apple for iPhone, iPad, Mac and other Apple devices. Apple IDs contain a user's personal information and settings.",deviceInfo,cbrn:CredentialsAuthenticatedCode,cbrncl:CredentialsAuthenticatedCodeType,A verification of the authenticating credentials.,Mapped to existing NIEMOpen attribute.,
androidID,string,A unique identifier used by Android,deviceInfo,cbrn:CredentialsAuthenticatedCode,cbrncl:CredentialsAuthenticatedCodeType,A verification of the authenticating credentials.,Mapped to existing NIEMOpen attribute.,
bluetoothDeviceAddress,string,Address used by the device to make a bluetooth connection,deviceInfo,BluetoothDeviceAddress,nc:DeviceElectronicAddress,The IP address associated with a bluetooth device.,Initial refinement completed. Pending Tiger Team review.,
macAddress,string,"Media Access Control address, a unique identifier assigned to network interfaces.
",deviceInfo,nc:MACAddressID,niem-xs : string,An identifier assigned to a hardware device that connects to the Internet; Media Access Control.,Mapped to existing NIEMOpen attribute.,
mockLocationsAllowed,boolean,,deviceInfo,,,,Needs to be refined by Tiger Team.,
locationServicesEnabled,boolean,True if location services are enabled on the device; false if location services are turned off,deviceInfo,LocationServicesEnabledIndicator,niem-xs : Boolean,True if location services are enabled on the device; false if location services are turned off.,Initial refinement completed. Pending Tiger Team review.,
imsi,integer,International mobile subscriber identity number for a device,"deviceInfo, callLog",,,,Needs to be refined by Tiger Team.,
iccid,integer,Integrated Circuit Card Identification number for a device,"deviceInfo, deviceIdentifiers",IntegratedCircuitCardID,niem-xs : string,An identification number for a device's Integrated Circuit Card.,Initial refinement completed. Pending Tiger Team review.,
issuerId,string,Identifier for a SIM card issuer,deviceInfo,SimCardIssuerId,nc : IdentificationType,An identifier for a SIM card issuer.,Initial refinement completed. Pending Tiger Team review.,
spn,integer,SIM Service Provider Name,deviceInfo,,,,Needs to be refined by Tiger Team.,
acc,string,SIM Access Control Class,deviceInfo,SIMAccessControlClass,SIMAccessControlClassType,A category of SIM Access Control Class codes.,Initial refinement completed. Pending Tiger Team review.,
msisdn,string,Mobile Station International Subscriber Directory number for a device,"deviceInfo, deviceIdentifiers",,,,Needs to be refined by Tiger Team.,
currentSimPhoneNumber,string,A telephone number stored in memory on a device.,deviceInfo,nc:DeviceStoredTelephoneNumber,nc : TelephoneNumberType,A telephone number stored in memory on a device.,Mapped to existing NIEMOpen attribute.,
simChangeTime,string,Date and time that a device's SIM was changed,deviceInfo,,,,Needs to be refined by Tiger Team.,
simChangeOperation,string,Code representing the type of SIM change performed,deviceInfo,,,,Needs to be refined by Tiger Team.,
currentSimOperator,string,Mobile phone carrier associated with the current SIM,deviceInfo,CurrentSimOperatorID,nc:IdentificationID,Mobile phone carrier associated with the current SIM.,Initial refinement completed. Pending Tiger Team review.,
currentSimCountryISO,string,ISO country code associated with the current SIM,deviceInfo,CurrentSimCountryISO,nc:ISOCountryCode,ISO country code associated with the current SIM.,Initial refinement completed. Pending Tiger Team review.,
recoveryModeEvent,string,Date and time that a recovery mode event occurred,deviceInfo,,,,Needs to be refined by Tiger Team.,
carrierName,string,Name of a telecommunication company,deviceInfo,CarrierName,nc:TextType,Name of a telecommunication company.,Initial refinement completed. Pending Tiger Team review.,
advertisingId,string,Mobile advertising identifier assigned to a device,deviceInfo,AdvertisingId,nc:IdentificationType,A mobile advertising identifier assigned to a device.,Initial refinement completed. Pending Tiger Team review.,
bluetoothMacAddress,string,"Media Access Control address for a bluetooth device
",deviceInfo,BluetoothMacAddress,nc:DeviceElectronicAddress,The Media Access Control address associated with a bluetooth device.,Initial refinement completed. Pending Tiger Team review.,
factoryNumber,string,A number assigned to a device during manufacturing,deviceInfo,DeviceFactoryNumberText,niem-xs : string,A number assigned to a device during manufacturing.,Initial refinement completed. Pending Tiger Team review.,
imei,integer,An identification number of a device specified as an International Mobile Equipment Identity assigned to every mobile phone by the manufacturer.,deviceInfo,nc:DeviceIMEIIdentification,nc : IdentificationType,An identification number of a device specified as an International Mobile Equipment Identity assigned to every mobile phone by the manufacturer.,Mapped to existing NIEMOpen attribute.,
capacityGB,integer,"Storage capacity of an electronic device, represented in gigabytes (GB).",deviceInfo,StorageCapacityGB,nc:AmountType,"Storage capacity of an electronic device, represented in gigabytes (GB).",Initial refinement completed. Pending Tiger Team review.,
tethering,object,Information related to device tethering,deviceInfo,,,,Needs to be refined by Tiger Team.,
hotspotPasswordRequired,string,Password for a device's hotspot connection,tethering,HotspotPasswordText,nc : TextType,A password for a device's hotspot connection.,Initial refinement completed. Pending Tiger Team review.,
examinerSummary,string,Analytical summary of device contents,deviceInfo,ExaminerDeviceSummaryText,nc : TextType,An analytical summary of device contents.,Initial refinement completed. Pending Tiger Team review.,
remoteDevice,string,,deviceInfo,,,,Needs to be refined by Tiger Team.,
deviceNetworkInformation,array,"Information related to the network connection of a device, including network attribute names, data values, and storage locations.",,DeviceNetworkInformationAssociation,nc : AssociationType,"Information related to the network connection of a device, including network attribute names, data values, and storage locations.",Initial refinement completed. Pending Tiger Team review.,
deviceNetworkAttribute,string,A name for a data attribute related to device network information,deviceNetworkInformation,DeviceNetworkAttributeName,nc : TextType,A name for a data attribute related to device network information.,Initial refinement completed. Pending Tiger Team review.,
deviceNetworkData,string,"An electronic data that consists of the domain name, Internet Protocol (IP) address and/or Universal Resource Locator (URL), server location, network name, file type, and originator of electronic data. Sufficient information must be entered for the user to utilize File Transfer Protocol (FTP) or Internet browser methods to locate, access and download files.",deviceNetworkInformation,usmtf:ElectronicDataText,usmtf : ElectronicDataType,"An electronic data that consists of the domain name, Internet Protocol (IP) address and/or Universal Resource Locator (URL), server location, network name, file type, and originator of electronic data. Sufficient information must be entered for the user to utilize File Transfer Protocol (FTP) or Internet browser methods to locate, access and download files.",Mapped to existing NIEMOpen attribute.,
storage,string,"In computer forensics, retrievable retention of data; electronic, electrostatic, or electrical hardware or other media into which data may be entered, and from which data may be retrieved",deviceNetworkInformation,DeviceNetworkInformationStorageText,nc : TextType,"A kind of electronic, electrostatic, or electrical hardware or other media used to enter and retrieve network data.",Initial refinement completed. Pending Tiger Team review.,
applications,object,A computer application used to process data.,,nc:Software,nc : softwareType,A computer application used to process data.,Mapped to existing NIEMOpen attribute.,
fileSystem,string,The way the operating system keeps track of the files on the drive.,"applications, document, archives, audio, configurations, databases, images, text, videos",FileSystemText,nc : TextType,A name of a file system use to keep track of the files on a drive.,Initial refinement completed. Pending Tiger Team review.,
metadataName,string,Name of a category of metadata,metadata,,,,Needs to be refined by Tiger Team.,
metadataValue,string,"Value of a category of metadata, paired with metadataName",metadata,,,,Needs to be refined by Tiger Team.,
md5,string,"A widely used cryptographic hash function producing a 16-byte hash value, typically expressed in text format as a 32-digit hexadecimal number. MD5 is commonly used to verify data integrity.","applications, document, archives, audio, configurations, databases, images, text, videos, primaryDeviceUserInformation, unrecognizedFiles",Md5HashValueText,nc : TextType,"A cryptographic hash function producing a 16-byte hash value, represented in text format as a 32-digit hexadecimal number.",Initial refinement completed. Pending Tiger Team review.,
dHashValue,string,A visual hash which can be used to quickly find similar pictures.,image,dHashValue,nc : ValueType,Value of a visual hash used to quickly find similar pictures.,Initial refinement completed. Pending Tiger Team review.,
classifications,string,"Systematic arrangements of persons or objects into categories (groups or classes) based on shared traits or
characteristics.","applications, documents, archives, audio, configurations, databases, images, text, videos",EntityCategoryClassificationsType,nc:TextType,Systematic arrangements of persons or objects into categories (groups or classes) based on shared traits or characteristics.,Initial refinement completed. Pending Tiger Team review.,
hashSets,string,Hash sets used by hash databases to identify and eliminate images and videos.,"applications, documents, archives, audio, configurations, databases, images, text, videos",HashSetText,nc : TextType,A hash set used by hash databases to identify and eliminate images and videos.,Initial refinement completed. Pending Tiger Team review.,
category,string,A description of a kind of information in a data file,"applications, document, archives, audio, configurations, databases, images, locations, text, videos, simData",cbrn:DataFileCategoryDescriptionText,niem-xs : string,A description of a kind of information in a data file,Mapped to existing NIEMOpen attribute.,
sha256,string,Type of hashing algorithm recommended for forensic use,"applications, document, archives, audio, configurations, databases, images, text, videos, unrecognizedFiles",,,,Needs to be refined by Tiger Team.,
deleted,string,Files no longer associated with a file allocation table or master file table. Deleted files are still resident on the media but are not accessible by the operating system.,"applications, document, devices, deviceInfo, archives, audio, callLog, chats, configurations, contacts, databases, deviceConnectivity, deviceEvents, deviceUsers, downloads, images, installedApplications, instantMessages, locations, networkUsages, passwords, searchedItems, text, userAccounts, videos, webBookmarks, webHistory, timeline, simData, activitySensorData, unrecognizedFiles",DeletedFiles,nc : TextType,A list of files no longer associated with a file allocation table or master file table. Deleted files are still resident on the media but are not accessible by the operating system.,Initial refinement completed. Pending Tiger Team review.,
deletedTime,string,Date and time of deletion,"applications, document, archives, audio, chats, configurations, databases, images, installedApplications, text, videos",FileDeletedTime,niem-xs:dateTime,Date and time that a file was deleted.,Initial refinement completed. Pending Tiger Team review.,
tagNote,string,Text description of a tag,"applications, document, devices, deviceInfo, archives, audio, callLog, chats, configurations, contacts, databases, deviceConnectivity, deviceEvents, deviceUsers, downloads, images, installedApplications, instantMessages, locations, networkUsages, passwords, searchedItems, text, userAccounts, videos, webBookmarks, webHistory, timeline, simData, wirelessNetworks",,,,Needs to be refined by Tiger Team.,
additionalFileInfo,object,File information not specified elsewhere,"applications, archives, audio, configurations, databases, images, text, videos",AdditionalFileInfoText,niem-xs:string,Additional details about a file.,Initial refinement completed. Pending Tiger Team review.,
numberOfAttachments,integer,Attachment quantity,"additionalFileInfo, chats",AttachmentQuantity,niem-xs : integer,Number of files attached to a message.,Initial refinement completed. Pending Tiger Team review.,
attachmentSource,string,Application or service where an attachment originated,"applications, document, archives, audio, configurations, databases, images, text, videos",nc:DocumentContainerAssociation,nc:AssociationType,Associated service where an attachment originated,Mapped to existing NIEMOpen attribute.,
carving,boolean,Indication of whether a portion of data has been extracted for the purpose of analysis,"document, devices, applications, archives, audio, callLog, chats, configurations, contacts, databases, deviceConnectivity, deviceEvents, deviceUsers, downloads, images, installedApplications, instantMessages, locations, networkUsages, passwords, searchedItems, text, userAccounts, videos, webBookmarks, webHistory, wirelessNetworks, timelines, simData",DataCarvingIndicator,xs:boolean,"True if a given portion of data has been extracted for the purpose of analysis, false otherwise.",Initial refinement completed. Pending Tiger Team review.,
duplicates,string,"Accurate digital reproductions of all data contained on a digital storage device (e.g., hard drive, CD-ROM, flash memory, floppy disk, Zip®, Jaz®). Maintains contents and attributes (e.g., bit stream, bit copy, and sector dump).","applications, document, archives, audio, configurations, databases, images, text, videos",DataDuplicateName,nc  : TextType,A file name given to a digital reproduction of  data contained on a digital storage device that maintains contents and attributes of the original data. ,Initial refinement completed. Pending Tiger Team review.,
archives,array,"Data placed on media suitable for long-term storage, from which subsequent working copies can be produced.",,stat:DataStructure,stat:DataStructureType,A structure of an organized collection of data (data set).,Mapped to existing NIEMOpen attribute.,
encrypted,boolean,Indication of whether plain text has been converted into cipher text in order to prevent anyone but the intended recipient from reading the data,"archives, deviceReportSummary",cbrn:DataFileEncryptedIndicator,niem-xs : boolean,True if a data file is encrypted; false otherwise. A boolean flag indicating if the data file is encrypted.,Mapped to existing NIEMOpen attribute.,
numberOfFiles,integer,A quantity of files,archives,,,,Needs to be refined by Tiger Team.,
audio,object,A digital audio data file.,,cbrn:AudioFile,cbrn : AudioFileType,A digital audio data file.,Mapped to existing NIEMOpen attribute.,
convertedName,string,Name of a file after it has been converted to a different file type,audio,ConvertedFileName,nc:TextType,A name of a file after it has been converted to a different file type.,Initial refinement completed. Pending Tiger Team review.,
callLog,array,"List of incoming, outgoing, and missed calls with their details",,j:TelephoneCallAssociation,j:TelephoneCallAssociationType,A relationship between a person and calls placed to a specific telephone number.,Mapped to existing NIEMOpen attribute.,
countryCode,string,"A country, territory, dependency, or other such geopolitical subdivision of a location.",callLog,nc:CountryCode,nc : CodeType,"A country, territory, dependency, or other such geopolitical subdivision of a location.",Mapped to existing NIEMOpen attribute.,
networkCode,string,Code given to a group of computers connected to one another to share information and resources. ,"callLog, deviceInfo",usmtf:NetworkClientCode,usmtf : NetworkClientCodeType,A network client parameter.,Mapped to existing NIEMOpen attribute.,
networkName,string,Name of a group of computers connected to one another to share information and resources. ,callLog,cyber:CyberNetworkName,nc : TextType,A name of the network.,Mapped to existing NIEMOpen attribute.,
parties,array,"Participants in a conversation. For example, communications such as instant messaging, emails, etc.","callLog, timeline, socialMediaActivity, calendarEntry",em:ContactPartyID,nc : IdentificationType,An identifier of a contact party,Mapped to existing NIEMOpen attribute.,
to,string,A telephone number that was dialed by a device.,"parties, chats",nc:DeviceOutgoingTelephoneNumber,nc : TelephoneNumberType,A telephone number that was dialed by a device.,Mapped to existing NIEMOpen attribute.,
from,string,A telephone number of an incoming call.,"parties, chats",nc:DeviceIncomingTelephoneNumber,nc : TelephoneNumberType,A telephone number of an incoming call.,Mapped to existing NIEMOpen attribute.,
timestamp,string,"In computer forensics, a point in time with respect to system time used by a file system to annotate creation, access or modification of file system objects","callLog, chats, instantMessages, locations, searchedItems, wirelessNetworks, timeline, socialMediaActivity",usmtf:SystemGeneratedTimeStamp,usmtf : SystemGeneratedTimeStampType,A local database commit time.,Mapped to existing NIEMOpen attribute.,
duration,string,A duration of the telephone call.,callLog,j:CallDuration,niem-xs : duration,A duration of the telephone call.,Mapped to existing NIEMOpen attribute.,
direction,string,Whether the call was outgoing or incoming,"callLog, instantMessage, timeline",TelephoneCallDirection,nc : TextType,Text to identify whether a call was outgoing or incoming.,Initial refinement completed. Pending Tiger Team review.,
callStatus,string,status of the call,callLog,CallStatusCode,CallStatusCodeType,A status of a phone call.,Initial refinement completed. Pending Tiger Team review.,
videoCall,boolean,indicator of whether or not the call was a video call,callLog,,,,Needs to be refined by Tiger Team.,
deviceDescriptions,string,Details about a device,"callLog, contacts, instantMessages",DeviceDescriptionText,nc : TextType,A description of a device.,Initial refinement completed. Pending Tiger Team review.,
source,string,"A person, thing, or activity from which information or evidence is obtained.","callLog, devices, chats, contacts, deviceConnectivity, deviceEvents, deviceUsers, downloads, installedApplications, instantMessages, locations, networkUsages, passwords, searchedItems, userAccounts, webBookmarks, webHistory, wirelessNetworks, timeline, contactIdentificationData, simData, socialMediaActivity, calendarEntry, activitySensorData, note",nc:SourceText,nc : TextType,"A name, identifier, or reference of a resource from which the information was taken.",Mapped to existing NIEMOpen attribute.,
accountName,string,A user account name.,"callLog, devices, chats, contacts, locations, passwords, searchedItems, webHistory, socialMediaActivity, note, userAccounts",UserAccountName,niem-xs:string,A user account name.,Initial refinement completed. Pending Tiger Team review.,
